"code","time","rate","species","file","file.cut"
"song",25.6,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",25.6,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",27.017,1.10071546505229,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",27.017,3.30214639515685,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",27.817,0.983284169124878,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",27.817,3.44149459193707,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",28.617,2.3041474654378,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"wag",28.617,2.3041474654378,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-1"
"song",0,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"wag",0,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"song",1.6,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"wag",1.6,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"song",3.2,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"wag",3.2,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"song",4.8,0.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"wag",4.8,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"song",6.4,0.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"wag",6.4,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"song",8,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"wag",8,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"song",9.6,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"wag",9.6,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"song",11.2,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"wag",11.2,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"song",12.8,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"wag",12.8,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"song",14.4,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"wag",14.4,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"song",16,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"wag",16,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"song",17.6,1.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"wag",17.6,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"song",19.2,0.75,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"wag",19.2,3.5,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"song",20.8,0.75,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"wag",20.8,3.25,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"song",22.4,1,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"wag",22.4,3,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"song",23.2395,1.21016538926987,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"wag",23.2395,3.22710770471965,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"song",24.0395,1.13765642775882,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"wag",24.0395,3.41296928327646,"Phaethornis yaruqui","entry0002_2000-01-01T000000_000.csv","entry0002_2000-01-01T000000_000.csv-2"
"song",0,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",0,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",1.6,1.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",1.6,3.5,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",3.2,1.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",3.2,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",4.8,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",4.8,3.5,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",6.4,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",6.4,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",8,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",8,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",9.6,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",9.6,3.5,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",11.2,0.5,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",11.2,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",12.8,0.75,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",12.8,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"song",14.4,1,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
"wag",14.4,3.25,"Phaethornis yaruqui","entry0003_2000-01-01T000000_000.csv","entry0003_2000-01-01T000000_000.csv-1"
