"file.cut.sgmnt","obs.dist","mean.rndm","p","file","cut","species","synch.score","sp.english","Bird","n"
"entry0038_2000-01-01T000000_000.csv-1",19.5598157795579,30.1287715915648,1e-04,"entry0038_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.350792788875798,"White-whiskered hermit","A58334",70
"entry0039_2000-01-01T000000_000.csv-1",26.6789429625622,34.4421439829569,1e-04,"entry0039_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.225398309241033,"White-whiskered hermit","A58394",81
"entry0040_2000-01-01T000000_000.csv-2",29.0302699157672,21.0670152445801,1,"entry0040_2000-01-01T000000_000.csv",2,"Phaethornis yaruqui",0.377996340665098,"White-whiskered hermit","A58394",36
"entry0041_2000-01-01T000000_000.csv-1",25.6988434736001,22.3919631925706,0.9604,"entry0041_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",0.147681570061113,"White-whiskered hermit","A58394",44
"entry0041_2000-01-01T000000_000.csv-2",27.7178391097498,27.9780932075713,0.4509,"entry0041_2000-01-01T000000_000.csv",2,"Phaethornis yaruqui",-0.00930206700973771,"White-whiskered hermit","A58394",52
"entry0044_2000-01-01T000000_000.csv-2",19.4095845203792,18.903090133334,0.6084,"entry0044_2000-01-01T000000_000.csv",2,"Phaethornis yaruqui",0.0267942639786767,"White-whiskered hermit","A00003",41
"entry0045_2000-01-01T000000_000.csv-1",21.2459452012934,24.8886041891579,0.0183,"entry0045_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.146358508503716,"White-whiskered hermit","A00003",79
"entry0046_2000-01-01T000000_000.csv-1",23.948355806725,24.231878650737,0.4698,"entry0046_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.0117004070587544,"White-whiskered hermit","A00003",48
"entry0047_2000-01-01T000000_000.csv-1",40.0838457261693,37.8253710048283,0.8692,"entry0047_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",0.0597079330974087,"White-whiskered hermit","A58394",68
"entry0048_2000-01-01T000000_000.csv-1",21.1152581809446,22.6792338592942,0.2468,"entry0048_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.0689606927664631,"White-whiskered hermit","A58394",54
"entry0049_2000-01-01T000000_000.csv-1",13.3925862281967,15.9101429738834,0.0963,"entry0049_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.158235959904273,"White-whiskered hermit","A00004",34
"NM2_Torronja_30082016_9000_2000-01-01T000000_000.csv-1",67.7490943836411,72.2472905597732,0.0588,"NM2_Torronja_30082016_9000_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.0622611054515678,"White-whiskered hermit","A00005",156
"NM3_09092016_0744 (2)_2000-01-01T000000_000.csv-1",68.2603688562047,104.65881433859,1e-04,"NM3_09092016_0744 (2)_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.347781939938947,"White-whiskered hermit","A00006",282
"OR_08092016_1658 (1)_2000-01-01T000000_000.csv-1",116.813636311095,153.670488870898,1e-04,"OR_08092016_1658 (1)_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.239843400190958,"White-whiskered hermit","A58359",346
"OR_10092016_0859_2000-01-01T000000_000.csv-1",27.709013399642,31.5491090139622,0.0212,"OR_10092016_0859_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.121718036874535,"White-whiskered hermit","A58359",62
"OR_10092016_0859_2000-01-01T000000_000.csv-2",12.4410404657719,15.7586854843812,0.0129,"OR_10092016_0859_2000-01-01T000000_000.csv",2,"Phaethornis yaruqui",-0.210528030519896,"White-whiskered hermit","A58359",32
"OR_10092016_0903_2000-01-01T000000_000.csv-1",56.5035987276688,64.8905162992098,0.001,"OR_10092016_0903_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.129247200513384,"White-whiskered hermit","A58359",136
"OR_10092016_0903_2000-01-01T000000_000.csv-2",30.1972609787124,24.326245623809,0.9953,"OR_10092016_0903_2000-01-01T000000_000.csv",2,"Phaethornis yaruqui",0.24134490153948,"White-whiskered hermit","A58359",56
"PBP_Toronja_06092016_pm_2000-01-01T000000_000.csv-1",21.1915615556203,27.4859212180929,0.0016,"PBP_Toronja_06092016_pm_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.229003045323774,"White-whiskered hermit","A58477",60
"PBP_Toronja_06092016_pm_2000-01-01T000000_000.csv-2",24.4535723167389,18.4737378868989,0.9986,"PBP_Toronja_06092016_pm_2000-01-01T000000_000.csv",2,"Phaethornis yaruqui",0.323693800705095,"White-whiskered hermit","A58477",32
"VYW_10092016_0940_2000-01-01T000000_000.csv-1",34.3544430407154,57.0532502674753,1e-04,"VYW_10092016_0940_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.397853007853962,"White-whiskered hermit","A58286",138
"WGW_08092016_0717 (1)_2000-01-01T000000_000.csv-1",48.4728691578628,46.3737806035058,0.8689,"WGW_08092016_0717 (1)_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",0.0452645552516873,"White-whiskered hermit","A58294",98
"WGW_08092016_0717 (3)_2000-01-01T000000_000.csv-1",27.7353709993102,26.1306568091598,0.7988,"WGW_08092016_0717 (3)_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",0.0614111693353182,"White-whiskered hermit","A58294",60
"WGW_08092016_0717 (4)_2000-01-01T000000_000.csv-1",20.7024881806162,40.9332985098703,1e-04,"WGW_08092016_0717 (4)_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.494238457826109,"White-whiskered hermit","A58294",104
"WGW_09092016_0739 (1)_2000-01-01T000000_000.csv-1",60.1868481354186,74.8635914421487,1e-04,"WGW_09092016_0739 (1)_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.196046476317819,"White-whiskered hermit","A58294",192
"WOW_10092016_0909_2000-01-01T000000_000.csv-1",60.0791927729221,63.5228768976187,0.0993,"WOW_10092016_0909_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.0542117154146984,"White-whiskered hermit","A58299",116
"WRP_08092016_1616 (1)_2000-01-01T000000_000.csv-1",15.6496096753256,16.277961109391,0.4668,"WRP_08092016_1616 (1)_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.0386013598289604,"White-whiskered hermit","A58308",34
"WRP_08092016_1616 (1)_2000-01-01T000000_000.csv-2",17.2943144724492,16.1057248403656,0.7598,"WRP_08092016_1616 (1)_2000-01-01T000000_000.csv",2,"Phaethornis yaruqui",0.0737992014556631,"White-whiskered hermit","A58308",34
"WRP_08092016_1616 (1)_2000-01-01T000000_000.csv-3",18.8757359396233,24.5666118432353,0.0019,"WRP_08092016_1616 (1)_2000-01-01T000000_000.csv",3,"Phaethornis yaruqui",-0.231650825108755,"White-whiskered hermit","A58308",50
"WRP_08092016_1616 (3)_2000-01-01T000000_000.csv-1",43.6901325571473,47.5929438691416,0.0734,"WRP_08092016_1616 (3)_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.0820039903966691,"White-whiskered hermit","A58308",112
"WVW_Toronja_06092016_pm (1)_2000-01-01T000000_000.csv-1",60.4550790844094,75.0458725180646,1e-04,"WVW_Toronja_06092016_pm (1)_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.194424995593768,"White-whiskered hermit","A58302",154
"WVW_Torronja_29082016_1604_2000-01-01T000000_000.csv-1",27.7274020542414,38.087011417477,1e-04,"WVW_Torronja_29082016_1604_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.271998483936754,"White-whiskered hermit","A58302",102
"YRY_10092016_0928_2000-01-01T000000_000.csv-1",152.794868750862,220.248141278414,1e-04,"YRY_10092016_0928_2000-01-01T000000_000.csv",1,"Phaethornis yaruqui",-0.306260348605099,"White-whiskered hermit","A58292",493
"108.LOC.2013.4.10.07.16.(1).MOV_2000-01-01T000000_000.csv-1",26.6500482721653,30.1394998250142,0.0287,"108.LOC.2013.4.10.07.16.(1).MOV_2000-01-01T000000_000.csv",1,"Phaethornis longirostris",-0.115776690824607,"Long-billed hermit","108",64
"108.LOC.2013.4.10.07.16.(1).MOV_2000-01-01T000000_000.csv-2",20.3696836943651,20.9937120582781,0.3697,"108.LOC.2013.4.10.07.16.(1).MOV_2000-01-01T000000_000.csv",2,"Phaethornis longirostris",-0.0297245366698734,"Long-billed hermit","108",46
"117.LOC.2013.4.10.07.16.(2).MOV_2000-01-01T000000_000.csv-1",57.5262759966529,90.491331087668,1e-04,"117.LOC.2013.4.10.07.16.(2).MOV_2000-01-01T000000_000.csv",1,"Phaethornis longirostris",-0.364289647359465,"Long-billed hermit","117",194
"124.SJA.2013.6.21.07.39.(3).MOV_2000-01-01T000000_000.csv-1",20.2581731646321,22.5269574112753,0.1187,"124.SJA.2013.6.21.07.39.(3).MOV_2000-01-01T000000_000.csv",1,"Phaethornis longirostris",-0.100714189014608,"Long-billed hermit","124",44
"143.SUR.2013.2.16.09.38.(2).MOV-_2000-01-01T000000_000.csv-1",16.351149406857,26.191602539769,1e-04,"143.SUR.2013.2.16.09.38.(2).MOV-_2000-01-01T000000_000.csv",1,"Phaethornis longirostris",-0.375710234529193,"Long-billed hermit","143",52
"143.SUR.2013.2.16.09.38.(2).MOV-_2000-01-01T000000_000.csv-2",44.0936017536115,41.0520441858005,0.9679,"143.SUR.2013.2.16.09.38.(2).MOV-_2000-01-01T000000_000.csv",2,"Phaethornis longirostris",0.0740902829112465,"Long-billed hermit","143",66
"143.SUR.2013.2.16.09.38.(2).MOV-_2000-01-01T000000_000.csv-3",54.1564274313798,57.0131738853116,0.1805,"143.SUR.2013.2.16.09.38.(2).MOV-_2000-01-01T000000_000.csv",3,"Phaethornis longirostris",-0.050106778122517,"Long-billed hermit","143",134
"143.SUR.2013.2.16.09.38.(2).MOV-_2000-01-01T000000_000.csv-4",13.8551704296628,18.7914936271151,0.0032,"143.SUR.2013.2.16.09.38.(2).MOV-_2000-01-01T000000_000.csv",4,"Phaethornis longirostris",-0.262689240962169,"Long-billed hermit","143",46
"143.SUR.2013.2.16.09.38.(2).MOV-_2000-01-01T000000_000.csv-5",38.6281320379462,44.2131666346671,0.0112,"143.SUR.2013.2.16.09.38.(2).MOV-_2000-01-01T000000_000.csv",5,"Phaethornis longirostris",-0.126320619440583,"Long-billed hermit","143",86
"146.CCL.2013.2.25.14.20.(1).MOV-2_2000-01-01T000000_000.csv-2",37.6216427137075,46.8780051971706,2e-04,"146.CCL.2013.2.25.14.20.(1).MOV-2_2000-01-01T000000_000.csv",2,"Phaethornis longirostris",-0.197456407211239,"Long-billed hermit","146",110
"176.SUR.2013.3.19.07.19.(2)-C1_2000-01-01T000000_000.csv-1",11.0974101538553,14.1668891508332,0.037,"176.SUR.2013.3.19.07.19.(2)-C1_2000-01-01T000000_000.csv",1,"Phaethornis longirostris",-0.216665702985144,"Long-billed hermit","176",36
"185.CCL.2013.2.25.14.33.(3)-C2_2000-01-01T000000_000.csv-1",25.002718901031,32.0904887715629,0.0106,"185.CCL.2013.2.25.14.33.(3)-C2_2000-01-01T000000_000.csv",1,"Phaethornis longirostris",-0.220868242954678,"Long-billed hermit","185",90
"187.CCL.2013.3.14.07.40.(2)-C1_2000-01-01T000000_000.csv-1",13.0875205185316,17.2336003858193,0.0147,"187.CCL.2013.3.14.07.40.(2)-C1_2000-01-01T000000_000.csv",1,"Phaethornis longirostris",-0.240581177146209,"Long-billed hermit","187",38
"36.SUR.2013.3.23.07.10.(3).MOV-2_2017-02-16T203539_158.csv-1",18.5412429424577,23.1107224415574,0.0059,"36.SUR.2013.3.23.07.10.(3).MOV-2_2017-02-16T203539_158.csv",1,"Phaethornis longirostris",-0.19772118810457,"Long-billed hermit","36",46
"36.SUR.2013.3.23.07.10.(3).MOV-3_2000-01-01T000000_000.csv-1",64.1830119110844,67.0107485489406,0.2048,"36.SUR.2013.3.23.07.10.(3).MOV-3_2000-01-01T000000_000.csv",1,"Phaethornis longirostris",-0.0421982547440274,"Long-billed hermit","36",100
"54.SUR.2013.3.24.07.34.(1).MOV_2000-01-01T000000_000.csv-1",62.6774460916333,60.4214114616237,0.7639,"54.SUR.2013.3.24.07.34.(1).MOV_2000-01-01T000000_000.csv",1,"Phaethornis longirostris",0.0373383304930319,"Long-billed hermit","54",138
"9.SUR.2013.2.13.07.36.(1).MOV_2000-01-01T000000_000.csv-1",43.2139885529168,45.8513794617874,0.1622,"9.SUR.2013.2.13.07.36.(1).MOV_2000-01-01T000000_000.csv",1,"Phaethornis longirostris",-0.0575204266442758,"Long-billed hermit","9",106
